usina;mes;cfuga;cmont
275;1;7.336;
275;2;9.146;
275;3;10.861;
275;4;11.486;
275;5;9.992;
275;6;6.870;
275;7;5.446;
275;8;5.446;
275;9;5.446;
275;10;5.446;
275;11;5.446;
275;12;5.446;
287;1;56.15;70.77
287;2;57.54;70.49
287;3;59.22;70.47
287;4;58.50;70.57
287;5;56.35;70.79
287;6;54.47;71.11
287;7;51.35;71.08
287;8;48.11;71.00
287;9;46.60;70.92
287;10;46.94;70.65
287;11;49.17;70.66
287;12;53.35;70.94
285;1;73.69;89.19
285;2;74.51;88.80
285;3;75.40;88.83
285;4;74.83;88.19
285;5;74.01;89.49
285;6;72.84;88.54
285;7;71.82;85.67
285;8;71.14;83.46
285;9;70.74;82.52
285;10;70.76;82.71
285;11;71.27;84.43
285;12;72.22;87.73
288;1;;96.90
288;2;;96.87
288;3;;96.91
288;4;;96.89
288;5;;96.76
288;6;;96.82
288;7;;96.98
288;8;;97.00
288;9;;96.44
288;10;;95.32
288;11;;96.01
288;12;;96.78
314;1;;96.90
314;2;;96.87
314;3;;96.91
314;4;;96.89
314;5;;96.76
314;6;;96.82
314;7;;96.98
314;8;;97.00
314;9;;96.44
314;10;;95.32
314;11;;96.01
314;12;;96.78
