codigo_usina,mes,volume_referencia
1,1,403.39
1,2,410.48
1,3,520.74
1,4,615.59
1,5,635.59
1,6,636.16
1,7,622.86
1,8,592.97
1,9,539.36
1,10,457.5
1,11,366.49
1,12,365.6
2,1,11.0
2,2,11.0
2,3,11.0
2,4,11.0
2,5,11.0
2,6,11.0
2,7,11.0
2,8,11.0
2,9,11.0
2,10,11.0
2,11,11.0
2,12,11.0
4,1,304.0
4,2,304.0
4,3,304.0
4,4,304.0
4,5,304.0
4,6,304.0
4,7,304.0
4,8,304.0
4,9,304.0
4,10,304.0
4,11,304.0
4,12,304.0
6,1,13010.83
6,2,14375.47
6,3,15110.18
6,4,15637.59
6,5,15733.53
6,6,15650.59
6,7,15283.31
6,8,14039.76
6,9,12771.57
6,10,11435.77
6,11,10592.1
6,12,10778.91
7,1,3050.2
7,2,3090.99
7,3,3143.45
7,4,3161.37
7,5,3103.01
7,6,3130.81
7,7,3102.19
7,8,3048.52
7,9,2997.81
7,10,2900.31
7,11,2794.36
7,12,2831.34
8,1,1423.0
8,2,1423.0
8,3,1423.0
8,4,1423.0
8,5,1423.0
8,6,1423.0
8,7,1423.0
8,8,1423.0
8,9,1423.0
8,10,1423.0
8,11,1423.0
8,12,1423.0
9,1,450.0
9,2,450.0
9,3,450.0
9,4,450.0
9,5,450.0
9,6,450.0
9,7,450.0
9,8,450.0
9,9,450.0
9,10,450.0
9,11,450.0
9,12,450.0
10,1,480.0
10,2,480.0
10,3,480.0
10,4,480.0
10,5,480.0
10,6,480.0
10,7,480.0
10,8,480.0
10,9,480.0
10,10,480.0
10,11,480.0
10,12,480.0
11,1,2244.0
11,2,2244.0
11,3,2244.0
11,4,2244.0
11,5,2244.0
11,6,2244.0
11,7,2244.0
11,8,2244.0
11,9,2244.0
11,10,2244.0
11,11,2244.0
11,12,2244.0
12,1,1524.0
12,2,1524.0
12,3,1524.0
12,4,1524.0
12,5,1524.0
12,6,1524.0
12,7,1524.0
12,8,1524.0
12,9,1524.0
12,10,1524.0
12,11,1524.0
12,12,1524.0
14,1,337.74
14,2,393.72
14,3,426.73
14,4,432.41
14,5,410.22
14,6,383.52
14,7,346.91
14,8,305.9
14,9,256.62
14,10,214.64
14,11,196.85
14,12,235.94
15,1,14.0
15,2,14.0
15,3,14.0
15,4,14.0
15,5,14.0
15,6,14.0
15,7,14.0
15,8,14.0
15,9,14.0
15,10,14.0
15,11,14.0
15,12,14.0
16,1,25.0
16,2,25.0
16,3,25.0
16,4,25.0
16,5,25.0
16,6,25.0
16,7,25.0
16,8,25.0
16,9,25.0
16,10,25.0
16,11,25.0
16,12,25.0
17,1,3230.41
17,2,3572.29
17,3,4180.47
17,4,4709.54
17,5,4687.9
17,6,4582.72
17,7,4145.2
17,8,3497.86
17,9,2792.78
17,10,2365.95
17,11,2221.86
17,12,2379.24
18,1,8024.39
18,2,8610.42
18,3,9049.8
18,4,9374.5
18,5,9542.52
18,6,9460.62
18,7,9096.09
18,8,8704.59
18,9,8085.52
18,10,7590.52
18,11,7384.9
18,12,7312.12
20,1,1196.68
20,2,1248.25
20,3,1451.7
20,4,1607.01
20,5,1502.95
20,6,1304.5
20,7,1418.09
20,8,1267.09
20,9,1056.75
20,10,931.2
20,11,865.16
20,12,1123.41
21,1,3032.28
21,2,3187.9
21,3,3419.28
21,4,3192.72
