usina;ano;mes;rv
54;2019;12;-
54;2020;01;-
54;2020;02;-
54;2020;03;-
54;2020;04;-
54;2020;05;-
54;2020;06;-
54;2020;07;-
54;2020;08;-
54;2020;09;-
54;2020;10;-
54;2020;11;-
88;2021;07;-
88;2021;08;-
88;2021;09;-
88;2021;10;-
88;2021;11;-
88;2021;12;-
88;2022;01;-
88;2022;02;-
88;2022;03;-
88;2022;04;-
88;2022;05;-
88;2022;06;-
88;2022;07;0
88;2022;07;1
88;2022;07;2
88;2022;07;3
309;2021;08;-
309;2021;09;-
309;2021;10;-
309;2021;11;-
309;2021;12;-
309;2022;01;-
309;2022;02;-
309;2022;03;-
309;2022;04;-
309;2022;05;-
309;2022;06;-
309;2022;07;-
309;2022;08;-
309;2022;09;-
309;2022;10;-
309;2022;11;-
309;2022;12;-
